t,collect(n)
"{""volume"":5167328,""role"":Alpha,""topic_id"":17,""density"":47838.2333265692}","[{""size"":5,""file_id"":30},{""size"":3,""file_id"":24},{""size"":2,""file_id"":28},{""size"":5,""file_id"":112},{""size"":5,""file_id"":104},{""size"":6,""file_id"":82},{""size"":6,""file_id"":101},{""size"":7,""file_id"":9},{""size"":8,""file_id"":69},{""size"":5,""file_id"":93},{""size"":6,""file_id"":18},{""size"":6,""file_id"":73},{""size"":4,""file_id"":106},{""size"":4,""file_id"":21},{""size"":4,""file_id"":100}]"
"{""volume"":3072,""role"":Gamma,""topic_id"":22,""density"":29.583333134651184}","[{""size"":3,""file_id"":107}]"
"{""volume"":204680,""role"":Gamma,""topic_id"":5,""density"":12843.766667693853}","[{""size"":8,""file_id"":114},{""size"":8,""file_id"":35},{""size"":4,""file_id"":40},{""size"":3,""file_id"":103}]"
"{""volume"":360000,""role"":Gamma,""topic_id"":10,""density"":9520.983328700066}","[{""size"":5,""file_id"":92},{""size"":3,""file_id"":7}]"
"{""volume"":7602267,""role"":Beta,""topic_id"":13,""density"":59864.29996819049}","[{""size"":6,""file_id"":66},{""size"":4,""file_id"":3},{""size"":5,""file_id"":1},{""size"":6,""file_id"":14},{""size"":9,""file_id"":108},{""size"":9,""file_id"":67},{""size"":7,""file_id"":76},{""size"":7,""file_id"":64},{""size"":7,""file_id"":48}]"
"{""volume"":264872,""role"":Gamma,""topic_id"":19,""density"":7873.866634622215}","[{""size"":7,""file_id"":62},{""size"":6,""file_id"":110},{""size"":3,""file_id"":60}]"
"{""volume"":7498850,""role"":Alpha,""topic_id"":2,""density"":46620.73329891264}","[{""size"":5,""file_id"":8},{""size"":5,""file_id"":72},{""size"":3,""file_id"":70},{""size"":9,""file_id"":74},{""size"":1,""file_id"":12},{""size"":8,""file_id"":71},{""size"":6,""file_id"":5},{""size"":2,""file_id"":10},{""size"":9,""file_id"":77},{""size"":5,""file_id"":13},{""size"":7,""file_id"":75}]"
"{""volume"":3794028,""role"":Alpha,""topic_id"":24,""density"":34855.8333626464}","[{""size"":3,""file_id"":11},{""size"":8,""file_id"":54},{""size"":6,""file_id"":50},{""size"":8,""file_id"":47},{""size"":5,""file_id"":16},{""size"":2,""file_id"":55},{""size"":6,""file_id"":25},{""size"":2,""file_id"":89},{""size"":2,""file_id"":56},{""size"":9,""file_id"":90}]"
"{""volume"":10034220,""role"":Beta,""topic_id"":12,""density"":105655.7001106143}","[{""size"":4,""file_id"":17},{""size"":6,""file_id"":23},{""size"":5,""file_id"":19},{""size"":4,""file_id"":80},{""size"":3,""file_id"":78},{""size"":3,""file_id"":22},{""size"":4,""file_id"":57},{""size"":8,""file_id"":52},{""size"":5,""file_id"":53},{""size"":2,""file_id"":49},{""size"":7,""file_id"":83},{""size"":10,""file_id"":51},{""size"":5,""file_id"":27},{""size"":4,""file_id"":26},{""size"":3,""file_id"":88},{""size"":4,""file_id"":84},{""size"":7,""file_id"":31}]"
"{""volume"":1143521,""role"":Gamma,""topic_id"":3,""density"":11415.500000089409}","[{""size"":5,""file_id"":37},{""size"":3,""file_id"":39},{""size"":4,""file_id"":44},{""size"":3,""file_id"":41},{""size"":3,""file_id"":34},{""size"":5,""file_id"":46},{""size"":4,""file_id"":43},{""size"":2,""file_id"":38},{""size"":5,""file_id"":102},{""size"":7,""file_id"":45}]"
"{""volume"":332449,""role"":Gamma,""topic_id"":21,""density"":6441.900005824865}","[{""size"":3,""file_id"":97},{""size"":5,""file_id"":105},{""size"":7,""file_id"":6},{""size"":4,""file_id"":109},{""size"":3,""file_id"":91}]"
"{""volume"":3055415,""role"":Alpha,""topic_id"":1,""density"":58781.09995573759}","[{""size"":5,""file_id"":95},{""size"":5,""file_id"":87},{""size"":7,""file_id"":32},{""size"":5,""file_id"":85},{""size"":6,""file_id"":99},{""size"":4,""file_id"":94},{""size"":5,""file_id"":29},{""size"":4,""file_id"":86},{""size"":6,""file_id"":15},{""size"":5,""file_id"":79},{""size"":1,""file_id"":33}]"
"{""volume"":646877,""role"":Gamma,""topic_id"":18,""density"":17116.316642597318}","[{""size"":6,""file_id"":58},{""size"":4,""file_id"":65},{""size"":5,""file_id"":59},{""size"":1,""file_id"":63},{""size"":7,""file_id"":61}]"
"{""volume"":7,""role"":Gamma,""topic_id"":14,""density"":5.050000190734863}","[{""size"":7,""file_id"":111}]"
"{""volume"":1352,""role"":Gamma,""topic_id"":25,""density"":231.7499997019768}","[{""size"":8,""file_id"":42}]"
"{""volume"":111926,""role"":Gamma,""topic_id"":7,""density"":22003.833399057392}","[{""size"":2,""file_id"":20},{""size"":7,""file_id"":96},{""size"":7,""file_id"":98},{""size"":7,""file_id"":4},{""size"":6,""file_id"":81}]"
"{""volume"":141050,""role"":Gamma,""topic_id"":16,""density"":11242.366624355314}","[{""size"":6,""file_id"":68},{""size"":2,""file_id"":2}]"
"{""volume"":112500,""role"":Gamma,""topic_id"":15,""density"":14737.68335723877}","[{""size"":5,""file_id"":113}]"
"{""volume"":242,""role"":Gamma,""topic_id"":8,""density"":417.23333817720413}","[{""size"":2,""file_id"":36}]"