id(t),id(node)
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
2,1
2,4
2,20
2,33
2,39
2,41
2,68
2,107
2,111
2,116
2,120
2,122
2,138
2,140
2,180
7,6
9,8
9,16
9,95
9,170
9,8
9,16
9,95
9,170
9,8
9,16
9,95
9,170
9,8
9,16
9,95
9,170
12,11
12,42
12,11
12,42
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
14,13
14,73
14,75
14,79
14,90
14,115
14,118
14,176
14,188
19,18
19,112
19,157
19,18
19,112
19,157
19,18
19,112
19,157
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
23,22
23,55
23,78
23,92
23,114
23,124
23,125
23,145
23,172
23,178
23,184
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
26,25
26,35
26,62
26,77
26,113
26,161
26,168
26,190
26,200
26,209
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
29,28
29,40
29,47
29,49
29,57
29,59
29,93
29,100
29,102
29,163
29,164
29,186
29,196
29,207
29,213
29,217
29,221
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
32,31
32,37
32,50
32,61
32,81
32,88
32,104
32,127
32,136
32,147
45,44
45,98
45,109
45,194
45,219
45,44
45,98
45,109
45,194
45,219
45,44
45,98
45,109
45,194
45,219
45,44
45,98
45,109
45,194
45,219
45,44
45,98
45,109
45,194
45,219
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
53,52
53,66
53,96
53,106
53,149
53,151
53,153
53,155
53,166
53,174
53,198
64,63
64,97
64,182
64,202
64,215
64,63
64,97
64,182
64,202
64,215
64,63
64,97
64,182
64,202
64,215
64,63
64,97
64,182
64,202
64,215
64,63
64,97
64,182
64,202
64,215
71,70
83,82
86,85
86,132
86,159
86,192
86,211
86,85
86,132
86,159
86,192
86,211
86,85
86,132
86,159
86,192
86,211
86,85
86,132
86,159
86,192
86,211
86,85
86,132
86,159
86,192
86,211
130,129
130,134
130,129
130,134
143,142
205,204